Group,Vehicle No,Status,DEVICE ID,DEVICE TYPE,Installation Type,Immobilize Type,Transmission,OEM,Model,Variant,Chassis No,Last comm time,GPS time,CAN Time,Odometer Calculated From,Odometer CAN,Odometer GPS,Fuel Level / SOC(%),Mobility,Ignition,Vehicle Battery,Device Battery,CAN Battery Voltage,Fixquality,Device State,OnRoad,LatLng,Battery Temperature,SOH,Charge Cycle,KWH,Current,controller Temperature,Last Location
"Zeal_EX","MCPM21200CJG48215","location-zero","C7685089A4029489","laf","OBD","ignition","AT","Ampere","Zeal EX","Default","","03-03-2025 09:41:03 AM","03-03-2025 09:41:01 AM","03-03-2025 09:41:03 AM","can_odometer","NA","385","0","Active","Off","66.03","4","66.03","0","1","true","12.909451,77.652662","","","","","N/A","N/A","20th Cross Road,Jute Cottage,Sector 2,HSR Layout,HSR Layout Ward,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Zeal_EX","KA05LP1016","stopped","9532E973666648B8","laf","OBD","ignition","AT","Ampere","Zeal EX","Default","","03-03-2025 09:30:47 AM","03-03-2025 09:30:47 AM","03-03-2025 09:30:47 AM","can_odometer","NA","6467","0","Active","Off","59.98","4.1","59.98","1","2","true","13.001516,77.515106","","","","","N/A","N/A","Annapurna Nagara,Rajagopal Nagar,Dasarahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Primus_POC","RS_SIM","nocomm","3524937B331D8384","laf","OBD","crank & ignition","AT","Ampere","Nexus","NXG","","14-10-2024 03:05:47 PM","14-10-2024 03:04:48 PM","14-10-2024 03:02:09 PM","gps_odometer","NA","135","87","Active","Off","11.3","3.02","0","1","2","true","12.944906,77.607358","","100","45","592","0","27","XLHealth,Eramma Layout,Lakkasandra,South Zone,Bengaluru,Bangalore Urban,Karnataka",
"Primus_POC","MCPM53000CKG10008","devicepullout","2A0F168989AEC01D","laf","OBD","ignition","AT","Ampere","Primus","Default","MCPM53000CKG10008","22-01-2025 05:12:13 AM","22-01-2025 05:12:15 AM","22-01-2025 05:11:54 AM","can_odometer","2","3227","100","Active","Off","1.4","3.23","53.34","1","2","true","11.073389,77.083157","","98","","","0.01","N/A","Coimbatore North,Royal Care Hospital, Coimbatore,Sulur,Coimbatore District,Tamil Nadu",
"Magnus_Demo","MC100DEL","devicepullout","A18BBD3D0B4E0DF0","laf","OBD","ignition","AT","Ampere","Magnus","MC 100","MCPM81500CFH10002","03-01-2025 10:26:43 AM","03-01-2025 10:26:40 AM","03-01-2025 10:26:43 AM","can_odometer","0","431","14","Active","Off","0","3.07","53.06","0","2","true","12.89248,77.56479","","100","","","0.01","N/A","Kanakapura Road,RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Magnus_80","MT80DEL","location-zero","B6C0B5D20F9A0635","laf","OBD","ignition","AT","Ampere","Magnus","MT 80","MCPM71500CFH10002","27-02-2025 01:52:19 PM","27-02-2025 01:52:17 PM","27-02-2025 01:52:17 PM","can_odometer","0","1845","0","Active","Off","13.26","2.98","49.6","0","1","true","12.892873,77.564549","","","","","0","29","RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Magnus_Demo","MT80SM_TEST","devicepullout","A8AE0CE174BD0A5D","laf","OBD","ignition","AT","Ampere","Magnus","MC 100","MCPM81500CFH10003","20-01-2025 09:58:43 AM","20-01-2025 09:58:39 AM","16-01-2025 05:34:46 PM","can_odometer","4","3553","84","Active","Off","5.98","2.99","0","0","1","true","12.89264,77.56451","","97","","","-0.4","27","RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Magnus_80","MT80BLR","devicepullout","1F354490AE6DC27F","laf","OBD","ignition","AT","Ampere","Magnus","MT 80","","03-03-2025 09:27:19 AM","03-03-2025 09:27:14 AM","03-03-2025 09:27:19 AM","can_odometer","4","3077","17","Active","Off","2.48","3.91","51.42","1","2","true","12.892675,77.564589","67","17","","","0","N/A","RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Magnus_Demo","MT80_CAN_IMMOB","stopped","4E6854136C168FB3","laf","OBD","can","AT","Ampere","Magnus","MT 80","","03-03-2025 09:25:25 AM","03-03-2025 09:24:59 AM","03-03-2025 09:25:25 AM","can_odometer","659","617","79","Active","Off","12.39","3.91","53.13","0","2","true","12.8926,77.564482","","","","","0","65","RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
"Magnus_80","MAGNUS_NEO_AUTO_EXPO","location-zero","2B12C0B440038F13","laf","OBD","ignition","AT","Ampere","Magnus","MT 80","MCPM91500CMH10061","27-02-2025 04:26:01 PM","27-02-2025 04:25:59 PM","27-02-2025 04:26:01 PM","can_odometer","2401","2570","51","Active","Off","13.4","0.01","52.33","0","1","true","12.892907,77.564598","65","51","","","-3.1","N/A","RMS International School,Kalyani Nagara,Vasanthapura,Bommanahalli Zone,Bengaluru,Bangalore Urban,Karnataka",
